  Max Value: 5.247375, Column: SRR14788780  Second Max Value: 2.038601, Column: SRR14788779
  Max Value: 2.435392, Column: ERR2074118  Second Max Value: 1.637750, Column: ERR2074081
  Max Value: 1.394386, Column: SRR6780836  Second Max Value: 0.252201, Column: SRR7755449
  Max Value: 4.147161, Column: SRR6780836  Second Max Value: 0.464258, Column: SRR7755379
  Max Value: 3.164304, Column: ERR2075977  Second Max Value: 2.634037, Column: SRR6780836
  Max Value: 1.727077, Column: ERR2077887  Second Max Value: 1.271779, Column: ERR2077881
  Max Value: 2.169129, Column: SRR8258959  Second Max Value: 0.918197, Column: SRR8357175
  Max Value: 3.828128, Column: SRR8258959  Second Max Value: 2.549901, Column: ERR2074541
  Max Value: 12.456247, Column: ERR2074541  Second Max Value: 9.657646, Column: ERR2076415
  Max Value: 5.567589, Column: SRR8258959  Second Max Value: 1.938375, Column: ERR2077449
  Max Value: 3.920832, Column: SRR8258963  Second Max Value: 1.518445, Column: ERR2075352
  Max Value: 2.426306, Column: ERR2077875  Second Max Value: 2.171182, Column: ERR2074050
  Max Value: 3.763398, Column: ERR2077449  Second Max Value: 1.979366, Column: SRR8934208
  Max Value: 6.893602, Column: SRR8357175  Second Max Value: 6.234582, Column: ERR2077449
  Max Value: 2.924478, Column: SRR8258962  Second Max Value: 2.430274, Column: SRR8258959
  Max Value: 14.859407, Column: SRR8258958  Second Max Value: 4.913435, Column: ERR2075398
  Max Value: 1.018398, Column: SRR7755139  Second Max Value: 0.503721, Column: ERR2077881
  Max Value: 21.741865, Column: SRR8258958  Second Max Value: 2.774255, Column: SRR5810022
  Max Value: 8.762791, Column: SRR8258958  Second Max Value: 3.924968, Column: SRR8258960
  Max Value: 3.205161, Column: ERR2074541  Second Max Value: 0.647177, Column: ERR2075517
  Max Value: 4.772726, Column: ERR2075521  Second Max Value: 3.783017, Column: SRR8258960
  Max Value: 10.910403, Column: ERR2075395  Second Max Value: 0.217410, Column: SRR9695020
  Max Value: 2.164865, Column: ERR2074736  Second Max Value: 1.654015, Column: ERR2077449
  Max Value: 1.899374, Column: SRR6780842  Second Max Value: 1.364751, Column: SRR8357175
  Max Value: 15.459550, Column: ERR9578130  Second Max Value: 14.441107, Column: ERR9578129
  Max Value: 3.197150, Column: SRR8258963  Second Max Value: 1.789499, Column: ERR2074291
  Max Value: 1.172605, Column: SRR8357174  Second Max Value: 0.882478, Column: ERR2074289
  Max Value: 3.444480, Column: ERR2074291  Second Max Value: 1.651903, Column: SRR8258959
  Max Value: 1.472996, Column: SRR14839325  Second Max Value: 0.943921, Column: SRR14839326
  Max Value: 4.992323, Column: SRR8258959  Second Max Value: 1.498551, Column: SRR7755449
  Max Value: 4.037604, Column: ERR2077449  Second Max Value: 2.333904, Column: SRR8357176
  Max Value: 1.804630, Column: SRR8934210  Second Max Value: 1.546624, Column: SRR13108333
  Max Value: 1.594110, Column: ERR2074052  Second Max Value: 1.304341, Column: ERR2075512
  Max Value: 1.018514, Column: SRR8258959  Second Max Value: 0.415247, Column: ERR9578130
  Max Value: 2.745584, Column: ERR9578131  Second Max Value: 2.090577, Column: ERR9578129
  Max Value: 2.070263, Column: ERR2074736  Second Max Value: 1.401394, Column: SRR5810022
  Max Value: 6.683146, Column: ERR2076512  Second Max Value: 1.434674, Column: ERR2076513
  Max Value: 3.678267, Column: SRR9695020  Second Max Value: 0.373714, Column: SRR13108334
  Max Value: 1.831457, Column: SRR7755074  Second Max Value: 1.511014, Column: ERR2074292
  Max Value: 11.268652, Column: ERR2074736  Second Max Value: 9.499763, Column: SRR13108335
  Max Value: 2.124423, Column: SRR3109717  Second Max Value: 0.688072, Column: SRR3109718
  Max Value: 2.652955, Column: SRR8258959  Second Max Value: 2.303054, Column: SRR7755449
  Max Value: 2.484680, Column: SRR7755449  Second Max Value: 0.901858, Column: SRR8258959
  Max Value: 1.363748, Column: SRR8258959  Second Max Value: 1.246086, Column: SRR7755449
  Max Value: 3.127810, Column: ERR2075395  Second Max Value: 1.480377, Column: ERR2076873
  Max Value: 2.626889, Column: ERR2074736  Second Max Value: 0.810213, Column: ERR489165
